,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23374.7,32816.1,31300.8,30012.9,21076.9,23903.4,24253.3,23642.4,18923.1,20417.7,20363.2,19376.6,18251.0,19257.6,19455.2,18339.8,17693.0,18507.7,19001.5,17921.5,17695.3,18646.7,18913.0,17928.8,17881.7,18650.4,19027.5,18156.7,18054.7,18822.3,19147.6,18326.1,18111.4,18794.0,19149.8,18374.8
1,22339.8,28020.4,27027.3,26462.5,20104.5,22104.4,22137.2,20847.7,18313.7,19644.3,19603.0,18729.8,17773.9,18982.5,19018.0,18111.1,17527.0,18574.9,18866.1,18035.9,17551.0,18674.0,18867.7,18147.0,17701.8,18679.3,19006.2,18350.4,17869.1,18943.2,19162.8,18500.6,17909.0,18884.8,19211.0,18544.1
2,24047.6,30652.6,28893.0,29399.3,22236.2,25597.8,25984.3,23470.1,20276.2,22247.0,22305.2,20896.6,19729.8,21395.9,21740.6,20176.2,19577.1,20963.7,21519.9,20252.2,19789.2,21249.1,21614.2,20446.8,20082.8,21310.9,21813.6,20830.0,20317.9,21563.5,21978.1,21118.7,20418.6,21488.7,22043.9,21162.8
3,25503.7,31715.0,30265.6,28976.2,21746.2,25481.2,24711.7,23221.1,19981.6,21916.7,21992.3,20815.4,19396.7,21169.1,21475.8,20252.1,19407.0,20827.5,21332.4,20325.5,19564.2,21127.2,21496.8,20575.9,19917.7,21383.5,21755.0,20959.4,20171.8,21580.1,21953.0,21231.8,20216.4,21602.8,22054.9,21312.5
