,Unnamed: 0,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,0,23393.420000000002,32854.08,31787.3,30586.620000000003,21115.8,24001.48,24324.159999999996,23280.6,19022.3,20339.1,20550.5,19413.3,18231.260000000002,19214.899999999998,19492.68,18378.86,17701.9,18556.68,18903.579999999998,17883.8,17701.28,18574.6,18872.120000000003,17939.04,17880.78,18659.02,18998.859999999997,18181.6,18054.719999999998,18763.3,19100.8,18332.079999999998,18115.920000000002,18780.039999999997,19085.3,18375.22
1,1,22372.28,28149.280000000006,28010.219999999994,26535.5,19900.56,22470.46,22113.700000000004,21132.780000000002,18248.879999999997,19576.7,19629.460000000003,18746.799999999996,17732.66,18884.26,19039.379999999997,18140.82,17524.600000000002,18567.64,18767.3,18055.640000000003,17558.120000000003,18629.46,18819.1,18156.22,17708.079999999998,18731.120000000003,18977.04,18367.739999999998,17864.94,18881.22,19127.480000000003,18502.920000000002,17914.059999999998,18915.120000000003,19138.86,18542.159999999996
2,2,24746.859999999997,30679.059999999998,30016.360000000004,28612.82,22305.640000000003,25807.920000000002,25588.4,23649.32,20274.019999999997,22165.379999999997,22422.620000000003,20845.72,19699.38,21358.440000000002,21702.16,20244.48,19624.420000000002,20982.28,21378.86,20237.86,19792.860000000004,21169.6,21559.760000000002,20483.36,20092.04,21364.66,21774.739999999998,20862.96,20327.2,21503.6,21929.1,21102.8,20410.72,21597.120000000003,21966.059999999998,21172.62
3,3,25237.08,30982.620000000003,30718.3,29127.580000000005,21950.640000000003,24982.239999999998,24871.88,23333.079999999998,19940.640000000003,21871.1,22010.68,20789.54,19369.840000000004,21149.28,21413.019999999997,20287.659999999996,19416.42,20831.46,21202.640000000003,20330.98,19589.9,21068.079999999998,21427.34,20612.760000000002,19902.120000000003,21325.760000000002,21715.859999999997,20997.94,20135.48,21544.2,21928.2,21228.0,20221.059999999998,21665.239999999998,21972.2,21289.940000000002
