,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23301.7,32048.2,31126.6,31184.4,21226.9,23993.2,25073.4,22588.0,19087.8,20306.5,20543.9,19444.0,18144.9,19275.3,19520.3,18301.8,17704.4,18557.4,18850.8,17818.9,17711.6,18547.6,18785.7,17909.9,17891.8,18660.3,19081.3,18172.4,18075.7,18727.1,19159.0,18294.9,18130.0,18769.8,19136.5,18365.0
1,21433.7,27391.4,27765.4,26286.3,19869.4,22760.3,21877.4,20760.7,18218.3,19531.1,19584.7,18688.1,17765.4,18890.6,19008.9,18026.9,17502.7,18540.4,18721.9,17982.4,17562.6,18605.5,18758.1,18134.0,17737.9,18741.0,19061.3,18397.5,17879.9,18859.1,19178.0,18492.8,17919.4,18910.8,19196.6,18552.5
2,24751.2,28967.9,29879.3,27586.5,22307.7,25811.1,25372.0,23950.3,20348.4,22127.7,22357.7,20917.5,19693.5,21294.9,21658.3,20178.7,19620.8,20977.1,21362.1,20186.1,19779.9,21129.3,21457.0,20443.4,20122.1,21386.5,21840.0,20871.4,20348.7,21531.6,21943.9,21041.8,20420.3,21620.8,21977.0,21163.9
3,24099.4,31059.3,30982.9,28760.9,22133.5,24833.7,25059.3,22998.2,19955.5,21891.9,21946.3,20746.8,19369.9,21145.5,21343.7,20242.8,19378.0,20847.1,21169.8,20262.2,19607.0,21014.8,21326.7,20587.1,19927.4,21295.6,21799.6,21015.5,20140.6,21500.7,21992.2,21176.8,20234.8,21651.2,22036.6,21276.9
