,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23213.0,33554.4,32608.8,31242.5,21034.0,23976.0,24122.5,23547.0,18884.8,20375.5,20516.3,19391.1,18257.4,19140.1,19548.7,18290.8,17705.9,18611.8,18791.3,17830.5,17688.4,18506.8,18777.6,17907.6,17881.2,18631.5,18957.1,18141.0,18060.4,18718.7,19132.9,18307.5,18116.1,18738.4,18980.8,18360.3
1,22849.5,28232.6,27915.5,26389.6,19837.1,22380.8,21920.3,21037.3,18339.8,19670.8,19673.1,18661.0,17722.7,18769.1,19129.7,18123.3,17517.1,18644.5,18628.7,18019.7,17555.7,18573.1,18719.5,18109.7,17703.0,18706.0,18920.9,18314.6,17872.9,18807.1,19171.5,18460.0,17908.3,18903.3,19028.6,18537.1
2,24612.1,31097.7,30504.0,27324.5,22489.6,26031.4,25432.9,23825.6,20272.1,22236.2,22389.5,20655.7,19658.5,21330.1,21691.4,20180.7,19616.1,21003.7,21114.6,20160.4,19785.5,21104.2,21484.3,20440.8,20109.5,21381.9,21710.7,20810.8,20302.3,21372.4,21949.4,21039.9,20419.7,21604.3,21844.0,21168.1
3,25247.9,30494.8,30774.5,28621.9,22036.6,24922.8,24975.4,23839.7,19927.8,21970.3,22013.5,20739.1,19326.0,21081.3,21463.4,20231.0,19411.6,20832.5,20949.3,20276.4,19580.0,21032.2,21311.8,20576.8,19899.9,21303.2,21663.3,20936.5,20141.3,21546.6,21992.9,21192.1,20232.6,21620.9,21842.3,21277.5
