,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23481.1,33337.7,32140.3,30587.4,21010.9,24231.4,24053.4,22908.0,19120.4,20296.7,20754.9,19350.9,18276.8,19264.2,19477.8,18451.7,17707.4,18559.9,19014.2,17849.1,17694.1,18639.3,18944.1,17889.9,17894.9,18624.0,19025.0,18134.9,18054.8,18714.2,19084.9,18305.9,18140.0,18911.9,19003.1,18369.8
1,22489.6,28605.7,28114.3,27180.6,19851.8,22955.0,21931.0,21774.5,18146.4,19624.8,19688.1,18830.7,17659.8,18903.9,19016.9,18165.0,17522.8,18559.7,18884.8,18059.8,17550.8,18706.7,18865.0,18115.1,17697.6,18693.3,19002.6,18317.7,17867.3,18831.0,19133.3,18457.6,17947.1,19033.0,19058.3,18514.5
2,24929.0,31987.1,30375.2,30541.0,22283.0,25738.5,25298.6,23530.5,20232.2,22182.3,22544.0,20841.3,19705.8,21383.6,21624.8,20281.5,19632.4,20978.9,21511.3,20183.5,19784.6,21229.5,21572.7,20428.5,20079.8,21299.3,21775.8,20830.6,20362.9,21458.3,21911.7,21066.9,20424.3,21799.2,21894.1,21178.2
3,25516.7,30708.8,30887.8,29390.7,21807.5,24824.5,25206.8,23239.8,19934.9,21852.0,22074.3,20791.3,19347.5,21120.7,21323.8,20261.1,19401.3,20789.8,21372.6,20272.1,19599.4,21151.6,21479.5,20563.5,19898.8,21231.2,21743.6,20967.5,20141.2,21478.4,21941.4,21180.1,20257.5,21775.2,21867.2,21269.0
