,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23596.6,32514.0,31760.0,29905.9,21230.3,23903.4,24118.2,23717.6,19095.4,20299.1,20574.2,19503.9,18226.2,19137.3,19461.4,18510.2,17698.8,18546.6,18860.1,17999.0,17717.0,18532.6,18940.2,18059.0,17854.3,18728.9,18903.4,18303.0,18028.0,18834.2,18979.6,18426.0,18082.1,18686.1,19156.3,18406.2
1,22748.8,28496.3,29228.6,26358.5,19840.0,22151.8,22702.6,21243.7,18226.2,19412.5,19598.4,18824.4,17741.5,18875.2,19023.4,18277.8,17553.4,18518.7,18735.0,18180.4,17570.5,18588.0,18885.2,18275.3,17700.1,18836.0,18894.2,18458.5,17835.5,18965.7,18991.8,18603.6,17886.5,18843.7,19199.8,18562.6
2,25394.4,30690.0,30430.3,28212.8,22211.7,25860.8,25854.2,23470.1,20241.2,22033.7,22516.7,20917.5,19709.3,21387.7,21795.7,20405.3,19675.7,20988.0,21386.4,20407.1,19825.1,21135.9,21670.6,20657.3,20066.0,21444.7,21733.6,20972.0,20304.2,21592.2,21862.4,21246.7,20370.7,21472.6,22071.3,21190.1
3,25817.7,30935.2,30680.7,29888.2,22029.4,24849.0,24406.2,23366.6,19903.4,21724.6,22027.0,20855.1,19409.1,21229.8,21458.4,20451.3,19484.2,20860.4,21189.1,20518.7,19598.9,21014.6,21521.9,20760.5,19866.8,21415.3,21617.8,21110.8,20082.5,21615.2,21761.5,21359.2,20164.0,21676.1,22060.0,21313.8
