,Bandwidth,AvgTime,Type,NumElements,Processes
127,22250.6,0.0541,Triad,50000000,4
128,19654.7,0.004139,Copy,5000000,1
129,18927.4,0.004283,Scale,5000000,1
130,21761.3,0.005628,Add,5000000,1
131,21617.3,0.00563,Triad,5000000,1
132,21187.4,0.003885,Copy,5000000,2
133,20349.6,0.004018,Scale,5000000,2
134,23684.4,0.005167,Add,5000000,2
135,23516.2,0.005224,Triad,5000000,2
136,21057.1,0.003969,Copy,5000000,3
137,20418.9,0.004017,Scale,5000000,3
138,23798.6,0.005174,Add,5000000,3
139,23187.9,0.005273,Triad,5000000,3
140,21127.3,0.003845,Copy,5000000,4
141,20391.6,0.003983,Scale,5000000,4
142,23781.7,0.005088,Add,5000000,4
143,23691.1,0.005119,Triad,5000000,4
