,Bandwidth,AvgTime,Type,NumElements,Processes
127,22167.4,0.054241,Triad,50000000,4
128,19718.2,0.004138,Copy,5000000,1
129,18913.5,0.004284,Scale,5000000,1
130,21765.0,0.005585,Add,5000000,1
131,21421.4,0.005666,Triad,5000000,1
132,20724.1,0.003921,Copy,5000000,2
133,19969.3,0.004062,Scale,5000000,2
134,23267.2,0.005248,Add,5000000,2
135,23107.0,0.005267,Triad,5000000,2
136,20890.6,0.003909,Copy,5000000,3
137,20357.0,0.004039,Scale,5000000,3
138,23663.2,0.005232,Add,5000000,3
139,23477.8,0.005224,Triad,5000000,3
140,21037.3,0.003882,Copy,5000000,4
141,20179.5,0.004014,Scale,5000000,4
142,23525.0,0.005166,Add,5000000,4
143,23335.2,0.005191,Triad,5000000,4
