,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23780.6,31987.1,31835.3,31610.4,20968.2,24604.5,24006.0,22896.2,19068.3,20417.7,20451.3,19394.5,18191.6,19167.9,19424.8,18342.8,17731.5,18535.3,19002.4,17904.1,17553.8,18495.2,18684.0,17759.3,17701.3,18500.4,18923.9,17982.5,17983.2,18652.4,19060.3,18240.5,18074.8,18675.0,18990.7,18330.5
1,22802.9,28008.7,27458.6,26962.2,19645.5,22806.8,21945.3,21488.6,18190.6,19568.7,19566.4,18729.8,17727.4,18834.9,18991.1,18067.7,17406.5,18429.6,18786.4,17916.3,17431.0,18580.6,18617.3,17951.2,17575.5,18560.4,18877.6,18165.5,17813.3,18740.5,19077.9,18432.2,17884.8,18839.4,19045.1,18491.6
2,25103.1,30708.8,29685.4,28220.7,22354.7,25404.0,26028.0,23825.6,20352.5,22207.8,22454.4,20875.0,19564.5,21202.1,21563.6,20013.0,19332.9,20788.8,21264.4,19859.1,19496.7,21013.4,21250.9,20066.7,19840.7,21116.7,21572.6,20513.3,20276.0,21351.9,21839.9,21001.3,20369.7,21535.7,21838.4,21122.0
3,25330.5,30906.8,31068.9,29127.1,22012.5,24901.2,24748.2,23205.0,19926.2,21932.9,22006.8,20824.9,19316.7,20982.0,21207.9,20171.4,19066.9,20605.6,21153.4,20050.1,19278.8,20917.0,21089.2,20244.2,19623.8,21039.0,21536.0,20653.6,20028.8,21330.3,21869.0,21105.7,20163.1,21411.2,21861.6,21231.0
