,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23638.2,31432.7,30854.7,30685.4,21328.1,23742.7,24152.9,23233.1,19021.8,20375.5,20696.0,19307.5,18169.0,19310.8,19445.1,18429.4,17678.8,18661.7,18844.7,17967.6,17586.7,18384.9,18846.9,17861.1,17712.8,18660.8,18816.1,18142.4,18002.9,18638.9,18968.7,18269.7,18076.7,18816.2,18993.5,18313.5
1,22580.4,28496.3,28436.0,26483.4,19834.2,21634.1,22122.6,20731.8,18131.7,19627.1,19840.6,18805.4,17624.5,18858.2,18987.3,18213.8,17398.5,18549.8,18658.4,17969.5,17386.1,18446.3,18778.5,18102.1,17572.9,18685.8,18773.2,18324.9,17799.2,18760.9,18983.4,18444.4,17870.9,18953.0,19048.9,18500.3
2,24781.7,31956.6,30138.7,28967.9,22172.5,24978.5,26038.1,23280.1,20268.0,22276.6,22628.1,20872.4,19598.8,21336.9,21594.2,20135.5,19346.1,20917.1,21201.2,19997.8,19488.7,20871.6,21445.4,20218.3,19845.1,21253.8,21528.7,20741.4,20228.2,21330.9,21794.6,20982.2,20363.3,21571.9,21888.8,21085.5
3,25672.9,31271.6,31705.0,29650.5,21826.4,25213.1,24736.0,23902.0,19888.4,21841.5,22129.6,20921.0,19271.6,21087.5,21236.1,20226.1,19054.0,20744.4,20975.0,20120.7,19273.0,20764.4,21265.3,20414.9,19642.6,21176.7,21398.6,20890.5,20058.3,21360.4,21745.8,21100.1,20157.8,21618.8,21838.5,21217.9
