,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23763.8,32577.1,30324.8,30462.5,21103.4,23911.9,24183.4,22876.7,19078.0,20324.9,20591.9,19353.1,18307.2,19154.3,19666.8,18424.9,17718.2,18672.9,18827.3,17842.4,17539.0,18394.9,18838.3,17751.9,17721.1,18646.7,18826.0,17959.1,17995.0,18751.8,18918.6,18208.1,18076.2,18882.8,19153.4,18328.2
1,22664.3,28387.8,27380.2,26994.7,19525.4,22280.5,21870.3,21166.7,18147.3,19410.2,19617.9,18694.3,17700.8,18694.3,19012.1,18163.5,17396.2,18526.5,18670.8,17835.0,17420.1,18439.1,18779.8,17950.4,17555.9,18733.7,18771.0,18190.1,17792.5,18894.2,18950.6,18403.0,17878.9,18998.5,19176.5,18505.0
2,24582.0,31242.5,29879.3,27045.5,21983.7,25751.7,25273.2,23973.2,20331.1,21949.2,22481.5,20894.9,19572.5,21134.9,21709.6,20031.3,19333.3,20949.3,21220.5,19790.4,19497.6,20855.7,21381.7,20070.6,19833.3,21299.7,21547.7,20530.7,20203.2,21502.3,21743.2,20922.6,20372.0,21569.4,21966.0,21115.9
3,25311.4,31675.0,30338.5,28992.9,21741.5,24772.6,24787.8,23445.5,19943.6,21735.0,21933.9,20744.2,19268.7,20922.3,21400.9,20167.8,19046.1,20748.0,20980.8,19974.0,19302.0,20737.5,21257.2,20243.8,19611.6,21204.9,21420.2,20684.9,20042.3,21491.0,21709.2,21055.8,20170.1,21698.4,22018.9,21224.0
