,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23654.9,31491.7,31011.5,32063.5,21001.1,23797.5,24135.5,23899.2,19056.4,20507.5,20361.9,19346.4,18276.3,19250.4,19429.9,18383.0,17712.8,18659.4,18847.2,17867.1,17563.7,18387.9,18832.0,17791.7,17708.7,18506.9,18821.5,17991.5,17987.0,18720.7,18960.6,18253.5,18131.8,18669.7,18962.1,18338.4
1,22718.0,28691.3,27927.1,26630.5,19937.3,21934.6,21550.7,20812.2,18155.2,19647.8,19605.3,18745.5,17747.1,18938.0,18989.0,18031.8,17420.6,18494.4,18617.4,17908.3,17421.6,18474.6,18756.8,18044.6,17583.2,18568.1,18773.3,18186.1,17819.4,18844.3,18974.5,18430.5,17924.4,18826.9,19013.5,18499.9
2,25028.2,30347.7,30476.3,27907.8,22332.4,25059.3,26041.5,23317.9,20329.4,22309.1,22502.6,20848.2,19603.0,21357.7,21617.3,20154.0,19343.0,20911.1,21184.8,19797.1,19508.0,20839.0,21370.3,20113.8,19820.7,21110.5,21511.1,20583.0,20246.3,21537.7,21801.2,20991.1,20398.0,21423.5,21828.3,21105.6
3,25575.0,31555.9,31467.1,30057.7,21793.3,25400.8,24699.6,23157.0,19961.0,21853.9,21949.2,20865.5,19280.5,21034.6,21260.8,20144.3,19099.0,20748.6,20983.9,19990.8,19272.5,20747.6,21238.4,20275.4,19618.3,21060.1,21382.5,20717.7,20021.1,21504.9,21747.5,21119.6,20211.0,21460.6,21816.7,21224.6
