,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23604.9,34843.6,31257.0,31521.3,21237.0,24786.3,25214.7,23077.3,19027.2,20242.8,20347.1,19359.8,18153.2,19166.3,19453.0,18479.1,17697.3,18509.1,18890.3,17960.3,17625.0,18441.9,18770.9,17937.8,17879.9,18577.9,19016.5,18226.0,18067.4,18806.9,18959.9,18421.3,18072.8,18733.7,18979.4,18475.2
1,22414.5,27985.3,27822.9,28351.9,19910.7,22228.8,21888.1,21034.0,18178.8,19542.5,19508.4,18746.5,17677.0,18869.4,18813.3,18108.7,17439.0,18485.3,18688.5,18044.7,17477.3,18495.5,18686.2,18135.8,17713.0,18701.1,19028.3,18452.8,17861.8,18932.3,18998.8,18604.4,17879.2,18860.6,19025.5,18642.5
2,24867.4,32472.0,31136.2,27985.3,22441.9,25327.3,25481.2,24579.0,20160.9,22146.2,22215.6,20941.0,19555.0,21228.9,21404.1,20219.2,19397.0,20859.6,21293.9,20096.8,19621.7,20934.1,21384.1,20390.3,20048.1,21262.1,21850.8,20899.9,20306.3,21520.7,21844.9,21232.2,20338.0,21510.2,21895.3,21308.9
3,24570.0,31388.6,31011.5,28984.5,22123.8,24873.6,25558.8,23511.2,19888.4,21863.4,21860.5,20868.9,19265.0,21052.2,21075.6,20267.2,19183.8,20700.2,21116.9,20211.1,19389.7,20836.3,21204.1,20515.6,19824.0,21196.3,21700.4,21028.1,20138.4,21567.0,21771.2,21338.3,20144.2,21580.0,21819.6,21410.8
