,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4,5_1,5_2,5_3,5_4,10_1,10_2,10_3,10_4,25_1,25_2,25_3,25_4,50_1,50_2,50_3,50_4,100_1,100_2,100_3,100_4,250_1,250_2,250_3,250_4,500_1,500_2,500_3,500_4
0,24438.8,33404.1,34169.5,33042.3,21240.3,25945.8,25295.5,25148.5,19718.2,20724.1,20890.6,21037.3,18913.0,19665.6,19945.6,20080.5,18433.9,19142.9,19186.5,19530.0,18274.0,19071.1,18965.4,19326.4,18226.3,18961.8,18874.5,19278.2,18188.3,18749.2,18858.0,19183.6,18138.2,18782.6,18937.8,19030.4
1,22534.9,28913.8,29945.9,28691.3,20289.9,23789.0,22542.4,22656.6,18913.5,19969.3,20357.0,20179.5,18401.1,19230.0,19746.6,19728.6,18148.3,19070.4,19126.7,19412.5,18053.4,19075.0,19008.7,19324.4,17974.1,19119.3,18985.7,19273.0,17968.8,18865.1,18942.0,19231.6,17946.8,18827.0,19035.2,19094.5
2,26214.4,32800.0,32736.0,31174.8,23213.0,26832.8,26836.4,27031.0,21765.0,23267.2,23663.2,23525.0,21157.1,22215.6,22788.4,22953.7,20698.0,21894.6,21943.6,22449.8,20569.8,21917.1,21787.1,22294.0,20527.1,21779.8,21768.1,22221.5,20435.6,21507.2,21711.5,22162.4,20478.9,21420.0,21779.4,21909.6
3,25877.5,32514.0,33927.6,32430.2,22964.1,26694.1,27560.1,26890.2,21421.4,23107.0,23477.8,23335.2,20951.0,22038.6,22545.0,22938.5,20522.8,21814.7,21919.3,22291.7,20408.9,21852.9,21841.6,22167.4,20356.6,21957.2,21746.9,22154.7,20294.5,21527.7,21720.4,22103.9,20278.4,21577.7,21805.7,21924.5
