,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23613.3,32482.5,31521.3,31506.5,21133.3,23993.2,23984.6,23181.0,19005.6,20266.0,20728.0,19340.8,18159.6,19172.3,19618.5,18286.3,17688.0,18677.7,18963.5,17858.9,17617.4,18452.3,18856.3,17806.6,17787.3,18690.1,19013.6,18012.6,18024.9,18652.5,18980.5,18285.8,18110.5,18692.8,19150.5,18332.0
1,22236.2,28161.5,27673.8,26908.1,19819.5,22347.3,21742.7,21536.9,18285.8,19601.8,19792.6,18646.5,17675.1,18822.3,19099.2,17969.0,17442.1,18603.9,18794.2,17896.8,17488.9,18495.7,18797.1,18048.4,17644.8,18808.5,18981.9,18194.5,17844.8,18786.3,19015.3,18460.0,17895.5,18818.3,19196.7,18492.7
2,24898.2,31675.0,29546.0,28638.2,22051.1,26058.3,25362.4,23652.1,20298.3,22248.0,22379.6,20705.8,19553.5,21182.5,21689.5,20035.7,19457.9,21030.1,21362.3,19931.9,19614.3,20938.8,21413.3,20189.9,19929.7,21372.9,21726.8,20598.2,20289.1,21363.3,21819.7,21039.5,20396.1,21417.7,21981.3,21095.7
3,26038.1,31291.0,30302.0,29720.5,21998.1,24809.2,24636.1,23339.5,19957.0,21891.9,21986.6,20716.9,19253.2,20948.8,21420.5,20080.0,19185.1,20839.0,21185.3,20074.0,19403.9,20834.0,21335.6,20366.5,19740.3,21289.8,21650.6,20780.1,20058.8,21411.1,21787.4,21155.6,20198.0,21460.4,22027.3,21229.4
