,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23890.7,32961.1,30954.3,32063.5,21007.6,24126.9,24394.4,22744.9,18939.1,20458.8,20495.0,19512.9,18291.3,19225.6,19562.4,18492.4,17674.6,18688.5,18836.6,17985.1,17617.0,18414.0,18893.5,17933.3,17785.1,18575.8,18869.6,18147.6,18030.0,18637.0,18974.2,18419.9,18128.5,18769.6,19135.3,18327.4
1,22557.6,28067.3,27257.9,26832.8,19639.7,22637.5,22166.4,20598.2,18294.8,19703.1,19707.8,18645.5,17657.0,18832.8,19054.7,18105.7,17448.1,18588.5,18662.3,18029.5,17484.5,18479.1,18847.9,18147.6,17611.7,18632.6,18832.8,18373.5,17834.7,18768.8,18998.9,18594.6,17929.0,18893.2,19187.6,18513.8
2,24534.1,31595.5,29720.5,29373.6,22273.1,25950.8,25529.6,24099.4,20301.6,22212.7,22436.4,20763.9,19571.0,21194.5,21674.6,20149.2,19456.4,20982.7,21281.0,20091.8,19634.8,20958.7,21547.8,20361.5,19931.5,21215.5,21640.1,20816.9,20263.1,21343.0,21855.5,21200.8,20419.7,21499.9,22017.4,21117.1
3,25241.5,31359.3,30568.9,30311.1,21998.1,24830.6,25333.7,23735.7,19910.5,21814.1,21972.2,20856.8,19279.4,20855.5,21400.0,20152.8,19177.9,20820.1,21070.4,20250.4,19397.5,20838.2,21387.1,20515.2,19742.9,21145.9,21518.4,20940.9,20097.4,21371.3,21766.3,21325.8,20234.2,21449.7,22019.3,21236.9
