,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,24279.6,32816.1,32310.5,30897.3,21512.7,23865.2,24758.9,23559.4,18909.2,20280.7,20637.5,19555.0,18255.9,19359.3,19631.1,18598.5,17702.5,18541.4,19012.3,17992.2,17717.7,18512.7,18962.7,18072.6,17942.4,18773.7,19037.5,18290.3,18091.3,18767.4,19107.7,18442.4,18088.2,18706.6,19120.0,18498.5
1,22764.2,27548.8,28593.5,26567.2,19955.1,22064.4,22436.9,20796.1,18352.8,19474.4,19774.0,18734.0,17708.2,18908.2,19080.7,18130.2,17500.0,18533.7,18812.3,18145.6,17581.8,18596.7,18919.3,18277.7,17772.8,18860.6,19045.9,18482.4,17913.5,18901.9,19159.4,18619.1,17896.2,18829.3,19169.2,18655.9
2,24733.0,30736.9,30887.8,26958.6,22412.0,25669.6,25134.4,23525.0,20304.8,22206.8,22663.7,20853.4,19619.4,21362.3,21766.9,20239.1,19612.8,20938.0,21537.8,20341.9,19802.4,21098.3,21680.1,20640.3,20131.3,21455.2,21888.6,21023.5,20396.0,21571.3,22026.7,21264.1,20355.9,21440.2,22040.6,21344.9
3,25620.6,31088.1,31049.8,30283.8,22034.2,25257.4,24573.0,23372.0,20013.4,21898.6,22136.5,20830.0,19307.5,21088.4,21448.8,20299.1,19369.1,20827.1,21306.0,20424.5,19591.8,21007.2,21503.4,20767.8,19934.2,21490.3,21797.6,21146.8,20141.8,21647.2,21977.6,21382.2,20175.7,21504.5,22001.6,21453.5
