,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23789.0,31700.0,31227.9,30174.8,21196.7,24001.7,24901.2,23387.0,18883.7,20376.8,20491.3,19201.4,18147.8,19157.0,19585.8,18402.6,17723.1,18662.1,18875.6,17838.2,17632.5,18419.3,18729.0,17851.7,17776.7,18669.0,18852.2,18079.5,18014.5,18786.4,18969.5,18301.4,18088.1,18661.8,18975.0,18360.1
1,22534.9,27447.4,27114.7,27458.6,19981.8,22118.9,21616.6,21083.5,18292.8,19699.7,19472.2,18655.9,17436.8,18806.4,19102.5,17992.6,17482.3,18595.9,18662.9,17919.2,17473.5,18474.2,18691.0,18086.7,17609.7,18760.6,18842.2,18261.6,17836.8,18909.8,19006.0,18477.0,17888.1,18823.7,19022.7,18508.8
2,24594.0,30329.4,27993.1,29615.6,22223.9,25407.2,25165.8,23423.7,20256.6,22305.2,22207.8,20725.4,19387.8,21222.2,21600.6,20074.8,19487.8,20989.9,21253.1,19961.0,19631.4,20922.0,21362.2,20256.4,19935.9,21331.4,21620.0,20695.7,20277.2,21520.7,21815.7,21044.0,20382.7,21480.8,21827.4,21151.1
3,25197.3,31145.8,30448.7,29330.8,21897.6,25455.4,24769.5,23621.6,19920.7,21884.3,21734.0,20672.6,19274.2,20982.0,21372.2,20092.5,19218.9,20894.6,21004.4,20101.0,19399.0,20816.4,21179.6,20415.9,19720.7,21274.0,21492.3,20820.5,20069.9,21526.8,21768.2,21163.7,20183.6,21475.6,21830.3,21242.3
