,1_1,1_2,1_4,1_8,2_1,2_2,2_4,2_8,5_1,5_2,5_4,5_8,10_1,10_2,10_4,10_8,25_1,25_2,25_4,25_8,50_1,50_2,50_4,50_8,100_1,100_2,100_4,100_8,250_1,250_2,250_4,250_8,500_1,500_2,500_4,500_8
0,23530.5,32977.3,30080.2,31141.0,21240.3,23929.0,24135.5,23057.5,18984.1,20311.4,20701.1,19395.6,18258.9,19114.4,19422.6,18312.7,17715.1,18669.6,18961.6,17818.9,17599.6,18416.6,18846.7,17868.6,17792.3,18696.0,18826.7,18048.7,18024.6,18743.0,19105.6,18242.2,18082.0,18679.2,19113.9,18326.3
1,22610.8,29382.2,27402.6,26994.7,19802.0,21877.4,21721.6,20715.8,18033.2,19542.5,19730.9,18632.0,17680.2,18762.8,18974.5,17970.0,17484.5,18557.0,18806.2,17953.0,17489.8,18491.8,18798.1,18094.1,17656.0,18724.4,18830.7,18213.6,17834.5,18801.8,19137.0,18435.3,17894.6,18807.9,19158.9,18515.9
2,24708.7,30347.7,29667.9,28508.4,22048.7,26007.8,24797.0,23580.1,20131.0,22114.1,22475.5,20917.5,19613.3,21119.8,21588.1,20068.4,19440.9,20887.6,21359.4,19916.3,19601.1,20942.6,21456.4,20244.9,19955.4,21318.3,21576.8,20679.7,20255.6,21537.4,21914.8,21000.0,20397.7,21461.1,21972.0,21088.3
3,25426.4,30765.1,31418.0,29738.0,21914.3,25015.7,24754.3,23791.8,19809.4,21723.7,22057.9,20818.0,19285.6,20866.3,21230.3,20103.7,19190.8,20889.2,21189.8,20095.5,19403.7,20832.2,21324.4,20381.7,19748.9,21305.4,21487.3,20803.1,20094.2,21445.9,21931.9,21127.3,20186.3,21479.1,21974.5,21237.0
